village_code,0_0,0_1,0_2,0_3,0_4,0_5,0_6,0_7,0_8,1_0,1_1,1_2,1_3,1_4,1_5,2_0,2_1,2_2,2_3,2_4,2_5,2_6,2_7,2_8,2_9
147353,0.2933163,0.011590798,0.14709134,0.011590798,0.04895196,0.38601395,0.011590798,0.07826319,0.011590798,0.0034410618,0.0034410618,0.0034410618,0.8076485,0.17858733,0.0034410618,0.0012035064,0.13585727,0.06723777,0.0012035064,0.7720908,0.0012035064,0.0012035064,0.0012035064,0.0012035064,0.01759306
147343,0.30359957,0.01117164,0.12444646,0.01117164,0.043709036,0.40459177,0.01117164,0.078966625,0.01117164,0.0034782183,0.0034782183,0.0034782183,0.7904601,0.19562694,0.0034782183,0.0012262382,0.13603227,0.06783834,0.0012262382,0.7702223,0.0012262382,0.0012262382,0.0012262382,0.0012262382,0.018549783
143643,0.2427085,0.011775244,0.1442153,0.011775244,0.09353437,0.34469616,0.011775244,0.12774456,0.011775244,2.4257615e-06,2.4257615e-06,2.4257615e-06,0.8182962,0.18169408,2.4257615e-06,0.0013675488,0.13663907,0.06964897,0.0013675488,0.7635698,0.0013675488,0.0013675488,0.0013675488,0.0013675488,0.021936819
122929,0.23637855,0.0142111955,0.24425408,0.0142111955,0.06516466,0.32250342,0.0142111955,0.07485459,0.0142111955,0.0031554163,0.0031554163,0.0031554163,0.8355582,0.15182012,0.0031554163,0.0011837552,0.13625453,0.06656725,0.0011837552,0.7733817,0.0011837552,0.0011837552,0.0011837552,0.0011837552,0.016693888
122914,0.20754105,0.014993448,0.23824586,0.014993448,0.15598302,0.21647283,0.014993448,0.12178358,0.014993448,8.581143e-06,8.581143e-06,8.581143e-06,0.7945884,0.2053772,8.581143e-06,0.0010685226,0.13560246,0.06410686,0.0010685226,0.77981675,0.0010685226,0.0010685226,0.0010685226,0.0010685226,0.014062936
147354,0.22047935,0.013467535,0.22576286,0.013467535,0.10503888,0.29188725,0.013467535,0.102961525,0.013467535,2.9182685e-05,2.9182685e-05,2.9182685e-05,0.81975716,0.18012606,2.9182685e-05,0.0015933282,0.13877298,0.070261694,0.0015933282,0.7579971,0.0015933282,0.0015933282,0.0015933282,0.0015933282,0.02340835
147340,0.27818167,0.0121132545,0.16473559,0.0121132545,0.053652577,0.3744928,0.0121132545,0.080484286,0.0121132545,0.003426141,0.003426141,0.003426141,0.80067843,0.18561701,0.003426141,0.0012175395,0.13599835,0.06771156,0.0012175395,0.770604,0.0012175395,0.0012175395,0.0012175395,0.0012175395,0.01838081
122916,0.22841252,0.0122024035,0.18116812,0.0122024035,0.12570146,0.2914841,0.0122024035,0.12442426,0.0122024035,2.5051497e-06,2.5051497e-06,2.5051497e-06,0.8167816,0.18320845,2.5051497e-06,0.0011733319,0.1359162,0.0668408,0.0011733319,0.77296257,0.0011733319,0.0011733319,0.0011733319,0.0011733319,0.01724027
178505,0.22774167,0.012168393,0.16613999,0.012168393,0.15049303,0.26036748,0.012168393,0.14658429,0.012168393,1.2700195e-06,1.2700195e-06,1.2700195e-06,0.81240416,0.1875909,1.2700195e-06,0.0012476326,0.13565694,0.06893868,0.0012476326,0.76740456,0.0012476326,0.0012476326,0.0012476326,0.0012476326,0.02051405
178539,0.24070746,0.011860994,0.17808013,0.011860994,0.10586993,0.31780893,0.011860994,0.110089615,0.011860994,0.00036951323,0.00036951323,0.00036951323,0.8020963,0.19642554,0.00036951323,0.001243054,0.13588403,0.06837,0.001243054,0.76863676,0.001243054,0.001243054,0.001243054,0.001243054,0.019650996
143632,0.21925095,0.014279295,0.25649387,0.014279295,0.13699155,0.24454452,0.014279295,0.08560204,0.014279295,0.002605769,0.002605769,0.002605769,0.61914766,0.37042922,0.002605769,0.0011008119,0.13587433,0.0653626,0.0011008119,0.7769182,0.0011008119,0.0011008119,0.0011008119,0.0011008119,0.015239971
143626,0.23026891,0.011901149,0.16239816,0.011901149,0.14230697,0.27553397,0.011901149,0.14188743,0.011901149,8.411119e-07,8.411119e-07,8.411119e-07,0.8169935,0.18300308,8.411119e-07,0.0012650435,0.13574369,0.06908929,0.0012650435,0.76677054,0.0012650435,0.0012650435,0.0012650435,0.0012650435,0.020806119
147326,0.23703818,0.012728941,0.19736806,0.012728941,0.08598081,0.32921258,0.012728941,0.0994846,0.012728941,0.0037630345,0.0037630345,0.0037630345,0.7686238,0.21632405,0.0037630345,0.0012547054,0.13606665,0.06851469,0.0012547054,0.7680932,0.0012547054,0.0012547054,0.0012547054,0.0012547054,0.019797273
167223,0.22763263,0.012230762,0.17554584,0.012230762,0.1331434,0.28221396,0.012230762,0.13254121,0.012230762,3.3428278e-05,3.3428278e-05,3.3428278e-05,0.81266564,0.18720065,3.3428278e-05,0.0012718206,0.1358199,0.06908621,0.0012718206,0.7666444,0.0012718206,0.0012718206,0.0012718206,0.0012718206,0.020818638
143627,0.22701617,0.012272158,0.17101367,0.012272158,0.14661725,0.26378292,0.012272158,0.14248128,0.012272158,2.6308376e-06,2.6308376e-06,2.6308376e-06,0.8182354,0.18175405,2.6308376e-06,0.0012725785,0.13598984,0.068921186,0.0012725785,0.7669312,0.0012725785,0.0012725785,0.0012725785,0.0012725785,0.020522399
